국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,기후대,차량 구분,분류,총수출량,차종,GDP,대표 차량 구분,차량 구분.1,차종 구분
동유럽,1377,1476,1769,864,1476,2531,951,487,1823,635,669,1621,2021,한랭,소형차,일반 차량,15679,i20,22.0,소형차,소형차,소형차
동유럽,1042,2437,1357,2046,2928,1054,1215,1889,869,2881,2799,3145,2021,한랭,상업용차,일반 차량,23662,Mighty,22.0,상업용차,상업용차,상업용차
동유럽,3527,2427,3216,2595,2169,4413,1620,3000,1824,3628,1717,3746,2021,한랭,SUV,일반 차량,33882,Tucson,22.0,SUV,SUV,SUV
동유럽,913,942,1256,1590,498,1648,780,1363,621,1577,1447,1603,2021,한랭,소형차,일반 차량,14238,PV,22.0,소형차,소형차,소형차
동유럽,1077,696,1392,1167,464,747,754,638,1352,1048,1389,1312,2021,한랭,전기차,일반 차량,12036,GV70 EV,22.0,전기차,전기차,전기차
동유럽,827,863,1829,2155,528,1646,974,1006,831,2107,2294,2382,2021,한랭,소형차,일반 차량,17442,HB20,22.0,소형차,소형차,소형차
동유럽,1531,2268,1297,1132,1822,1218,1729,1222,1952,1495,2103,2685,2021,한랭,상업용차,일반 차량,20454,Porter,22.0,상업용차,상업용차,상업용차
동유럽,429,331,1202,678,626,859,1557,1080,504,583,1652,319,2021,한랭,전기차,일반 차량,9820,Santa Fe HEV,22.0,전기차,전기차,전기차
동유럽,573,1187,1348,507,358,1132,241,833,1227,1085,1625,814,2021,한랭,전기차,일반 차량,10930,IONIQ6,22.0,전기차,전기차,전기차
동유럽,1107,569,1639,1516,454,870,796,793,510,1052,807,590,2021,한랭,소형차,일반 차량,10703,Accent,22.0,소형차,소형차,소형차
동유럽,614,1131,1797,516,709,2582,1340,551,1592,1998,461,1714,2021,한랭,소형차,일반 차량,15005,Creta,22.0,소형차,소형차,소형차
동유럽,402,1422,1301,541,791,943,689,420,1134,992,773,1400,2022,한랭,소형차,일반 차량,10808,i10,22.0,소형차,소형차,소형차
동유럽,1504,1431,1693,1558,1745,1449,1380,1109,580,1781,1708,759,2022,한랭,소형차,일반 차량,16697,Santa-Fe,22.0,소형차,소형차,소형차
동유럽,383,627,1401,2176,1800,2123,1450,1311,928,1687,1897,2209,2022,한랭,소형차,일반 차량,17992,i20,22.0,소형차,소형차,소형차
동유럽,1057,987,1041,783,1230,1069,2009,1845,1833,1852,1300,1970,2022,한랭,소형차,일반 차량,16976,NX4m,22.0,소형차,소형차,소형차
동유럽,1771,1013,858,1693,1266,2007,1534,2004,928,2244,2007,1767,2022,한랭,소형차,일반 차량,19092,Creta,22.0,소형차,소형차,소형차
동유럽,1292,1220,1306,782,1678,1516,2065,1737,420,599,1382,1868,2022,한랭,소형차,일반 차량,15865,HTBC,22.0,소형차,소형차,소형차
동유럽,428,1476,924,950,1411,1264,957,1731,1388,1189,954,1692,2022,한랭,소형차,일반 차량,14364,HB20,22.0,소형차,소형차,소형차
동유럽,2134,2709,2990,2280,4434,5045,1856,1566,3431,4272,1420,4014,2022,한랭,SUV,일반 차량,36151,Tucson,22.0,SUV,SUV,SUV
동유럽,1105,1318,657,487,1062,1615,562,830,1624,1291,932,1961,2022,한랭,소형차,일반 차량,13444,Elantra,22.0,소형차,소형차,소형차
동유럽,432,1426,414,1816,938,1591,1781,860,1198,646,839,716,2023,한랭,소형차,일반 차량,12657,CV,22.0,소형차,소형차,소형차
동유럽,524,290,327,311,784,793,1466,456,892,348,379,1373,2023,한랭,전기차,일반 차량,7943,Ioniq5,22.0,전기차,전기차,전기차
동유럽,576,625,1417,1056,1432,1290,1689,1620,1420,1839,1989,2104,2023,한랭,소형차,일반 차량,17057,Elantra,22.0,소형차,소형차,소형차
동유럽,989,1618,349,1515,889,1178,1462,952,1392,1711,1072,629,2023,한랭,소형차,일반 차량,13756,i10,22.0,소형차,소형차,소형차
동유럽,1612,823,1728,1581,733,1755,897,2017,1427,1801,1005,1445,2023,한랭,소형차,일반 차량,16824,BHMC,22.0,소형차,소형차,소형차
동유럽,697,1703,824,1854,1105,1315,962,507,1608,1089,538,2392,2023,한랭,소형차,일반 차량,14594,Creta,22.0,소형차,소형차,소형차
동유럽,1391,1935,1252,2883,2476,915,1852,1688,1434,2916,1906,3762,2023,한랭,상업용차,일반 차량,24410,Porter,22.0,상업용차,상업용차,상업용차
동유럽,1830,618,1402,1605,1070,729,1002,741,1846,1775,2250,1196,2023,한랭,소형차,일반 차량,16064,i20 N,22.0,소형차,소형차,소형차
