국가명,기후대,연도,차종 구분,차량 구분,GDP,총수출량,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
동유럽,한랭,2024,소형차,소형차,25.0,10213,1083,1453,759,1127,179,1332,1212,312,187,1223,1283,63
동유럽,한랭,2022,상업용차,상업용차,25.0,5885,912,199,574,728,881,454,462,236,174,57,1034,174
동유럽,한랭,2024,SUV,SUV,25.0,8324,594,180,1109,616,792,53,842,1102,797,1143,791,305
동유럽,한랭,2021,전기차,전기차,25.0,10200,539,692,1246,994,981,1093,723,397,546,484,1408,1097
북미-멕시코,건조,2022,소형차,소형차,20.0,8526,903,1329,866,619,776,494,846,1199,332,356,498,308
북미-멕시코,건조,2024,상업용차,상업용차,20.0,7020,917,1490,376,1175,70,353,196,669,109,443,467,755
북미-멕시코,건조,2022,SUV,SUV,20.0,7412,702,894,176,614,998,1170,616,1030,461,143,263,345
북미-멕시코,건조,2024,전기차,전기차,20.0,11200,502,937,1127,836,446,1136,653,1277,840,1471,1033,942
북미-미국,온대,2023,소형차,소형차,20.0,8923,709,1139,596,81,977,246,74,991,987,800,1119,1204
북미-미국,온대,2021,상업용차,상업용차,20.0,9059,470,1112,236,75,522,1492,963,357,971,1327,1466,68
북미-미국,온대,2023,SUV,SUV,20.0,8646,450,169,190,300,898,1392,1077,878,664,1002,943,683
북미-미국,온대,2020,전기차,전기차,20.0,9867,1283,824,1084,126,1314,1226,926,143,798,120,735,1288
북미-캐나다,한랭,2021,소형차,소형차,20.0,9313,518,1194,495,144,638,900,942,1187,1325,246,943,781
북미-캐나다,한랭,2024,상업용차,상업용차,20.0,9304,1032,1127,1480,112,767,200,869,247,1356,149,1111,854
북미-캐나다,한랭,2020,SUV,SUV,20.0,8949,546,316,1416,817,837,133,774,559,1264,102,1240,945
북미-캐나다,한랭,2022,전기차,전기차,20.0,10694,460,1482,913,620,1029,1101,1458,267,1363,1294,549,158
서유럽,온대,2021,소형차,소형차,45.0,10743,1425,964,619,1405,349,987,382,659,1003,1322,750,878
서유럽,온대,2023,상업용차,상업용차,45.0,10885,560,899,1454,682,620,1464,1042,611,621,812,843,1277
서유럽,온대,2022,SUV,SUV,45.0,7551,794,96,618,1142,622,811,576,774,214,662,825,417
서유럽,온대,2023,전기차,전기차,45.0,10029,193,76,1281,918,1309,1470,1189,842,815,1410,105,421
아시아,온대,2020,소형차,소형차,20.0,6935,1004,827,476,314,1027,966,198,209,277,512,572,553
아시아,온대,2024,상업용차,상업용차,20.0,10491,431,1014,182,1185,616,840,76,1401,1291,636,1324,1495
아시아,온대,2024,SUV,SUV,20.0,7467,1076,139,916,109,500,824,224,1089,548,534,419,1089
아시아,온대,2021,전기차,전기차,20.0,11938,1433,911,873,1307,457,1389,1077,548,522,871,1348,1202
중남미,열대,2020,소형차,소형차,20.0,8956,684,278,1379,562,661,396,292,1225,1033,594,722,1130
중남미,열대,2021,상업용차,상업용차,20.0,6263,416,379,840,1154,842,189,517,236,318,521,230,621
중남미,열대,2020,SUV,SUV,20.0,10486,1446,868,1356,479,340,122,145,1287,1130,1466,403,1444
중남미,열대,2024,전기차,전기차,20.0,9280,1125,915,186,995,316,1037,867,1084,759,931,860,205
중동·아프리카,건조,2023,소형차,소형차,20.0,8381,332,1103,292,631,1442,359,515,1125,295,966,217,1104
중동·아프리카,건조,2023,상업용차,상업용차,20.0,12192,1336,892,829,1444,1121,276,207,1412,1100,1220,1266,1089
중동·아프리카,건조,2023,SUV,SUV,20.0,8416,466,1416,982,140,602,1145,804,1218,251,420,725,247
중동·아프리카,건조,2022,전기차,전기차,20.0,9658,1108,1181,1196,514,205,1148,923,889,137,250,1469,638
동유럽,한랭,2020,소형차,소형차,25.0,8553,162,307,227,236,612,1328,769,718,969,1176,1326,723
동유럽,한랭,2021,상업용차,상업용차,25.0,10668,189,1498,883,1356,318,1083,307,504,1150,1440,1034,906
동유럽,한랭,2023,SUV,SUV,25.0,9323,71,1250,796,134,1081,1251,1279,1261,384,834,316,666
동유럽,한랭,2021,전기차,전기차,25.0,8941,220,1227,196,187,559,1492,942,1365,1052,214,111,1376
북미-멕시코,건조,2024,소형차,소형차,20.0,8397,712,587,596,313,739,565,918,710,783,1230,720,524
북미-멕시코,건조,2021,상업용차,상업용차,20.0,10401,782,1260,780,56,1493,1032,805,772,476,659,1495,791
북미-멕시코,건조,2023,SUV,SUV,20.0,9714,1375,999,385,147,895,326,374,420,1498,1466,1093,736
북미-멕시코,건조,2021,전기차,전기차,20.0,9201,274,187,1152,1241,903,1028,828,319,585,327,963,1394
북미-미국,온대,2023,소형차,소형차,20.0,10272,397,1006,577,1022,1484,986,481,1324,167,885,578,1365
북미-미국,온대,2023,상업용차,상업용차,20.0,9661,107,1140,64,986,1019,1336,919,905,736,232,1177,1040
북미-미국,온대,2024,SUV,SUV,20.0,11661,1219,1398,1078,630,823,1217,1266,808,966,477,954,825
북미-미국,온대,2024,전기차,전기차,20.0,11679,378,543,911,980,1146,1254,1214,72,1049,1333,1375,1424
북미-캐나다,한랭,2024,소형차,소형차,20.0,7666,796,516,360,961,389,1047,1221,751,541,477,391,216
북미-캐나다,한랭,2021,상업용차,상업용차,20.0,10010,1423,940,975,1305,628,95,1228,452,199,443,994,1328
북미-캐나다,한랭,2023,SUV,SUV,20.0,9545,549,957,799,530,57,965,883,1491,1191,369,845,909
북미-캐나다,한랭,2023,전기차,전기차,20.0,8629,380,1090,137,936,1062,757,950,745,380,163,1428,601
서유럽,온대,2020,소형차,소형차,45.0,10308,776,1323,578,1443,1286,1120,349,354,1315,201,1354,209
서유럽,온대,2024,상업용차,상업용차,45.0,7149,297,665,241,505,463,538,1073,1422,1031,426,401,87
서유럽,온대,2020,SUV,SUV,45.0,11911,1408,1439,1224,589,1002,551,768,1049,1114,494,826,1447
서유럽,온대,2020,전기차,전기차,45.0,7532,350,1056,339,893,278,1007,1345,192,61,814,437,760
아시아,온대,2020,소형차,소형차,20.0,7524,197,1410,798,357,565,713,319,420,1038,601,116,990
아시아,온대,2022,상업용차,상업용차,20.0,8236,439,1427,164,870,1222,108,1431,70,107,1256,488,654
아시아,온대,2020,SUV,SUV,20.0,10247,1265,103,731,747,1428,395,621,1410,1358,370,950,869
아시아,온대,2022,전기차,전기차,20.0,8948,1024,711,273,159,1371,413,1010,378,751,1424,539,895
중남미,열대,2020,소형차,소형차,20.0,10361,297,1317,1127,119,485,1363,421,1247,1276,502,1013,1194
중남미,열대,2024,상업용차,상업용차,20.0,10246,576,1489,1494,859,56,1297,856,1489,644,206,140,1140
중남미,열대,2021,SUV,SUV,20.0,8628,208,372,761,1010,1176,1249,810,1415,73,555,727,272
중남미,열대,2023,전기차,전기차,20.0,11665,1458,925,1349,1149,1038,1255,901,707,769,1286,685,143
중동·아프리카,건조,2020,소형차,소형차,20.0,9445,175,1329,568,1285,558,331,585,801,1289,1212,703,609
중동·아프리카,건조,2023,상업용차,상업용차,20.0,9046,1084,1041,1108,132,153,596,372,1326,634,345,1376,879
중동·아프리카,건조,2020,SUV,SUV,20.0,6705,1395,317,526,470,588,573,1181,180,436,578,312,149
중동·아프리카,건조,2024,전기차,전기차,20.0,11244,1074,863,886,897,1380,1061,510,134,1254,1223,673,1289
동유럽,한랭,2023,소형차,소형차,25.0,10464,963,1494,543,899,866,673,1296,1075,691,295,1392,277
동유럽,한랭,2022,상업용차,상업용차,25.0,8553,55,904,109,847,1048,926,794,1166,774,334,148,1448
동유럽,한랭,2020,SUV,SUV,25.0,8605,578,1292,158,188,555,743,684,1181,332,1138,1049,707
동유럽,한랭,2024,전기차,전기차,25.0,11024,799,1170,1301,891,571,832,650,559,729,925,1178,1419
북미-멕시코,건조,2022,소형차,소형차,20.0,6698,413,386,791,1106,123,494,1465,148,408,113,862,389
북미-멕시코,건조,2024,상업용차,상업용차,20.0,11501,1295,444,1360,1266,352,745,1254,1022,752,1235,1469,307
북미-멕시코,건조,2022,SUV,SUV,20.0,9744,372,1331,1196,978,473,1179,228,1412,601,1224,212,538
북미-멕시코,건조,2021,전기차,전기차,20.0,9783,76,593,440,1280,1039,148,540,876,1152,1039,1347,1253
북미-미국,온대,2023,소형차,소형차,20.0,10142,146,412,477,549,394,802,902,891,1436,1334,1320,1479
북미-미국,온대,2022,상업용차,상업용차,20.0,9392,1498,400,1252,971,428,365,1493,108,1271,878,617,111
북미-미국,온대,2020,SUV,SUV,20.0,9057,785,905,670,1339,404,335,650,433,525,901,1296,814
북미-미국,온대,2024,전기차,전기차,20.0,8245,978,1088,740,469,865,1469,378,158,1440,268,318,74
북미-캐나다,한랭,2023,소형차,소형차,20.0,7966,1471,1218,851,100,106,469,617,1147,385,700,305,597
북미-캐나다,한랭,2024,상업용차,상업용차,20.0,10781,451,512,1439,1033,1289,260,1459,1408,358,155,1334,1083
북미-캐나다,한랭,2024,SUV,SUV,20.0,10275,1298,1203,834,562,939,247,438,471,1382,819,685,1397
북미-캐나다,한랭,2022,전기차,전기차,20.0,10299,923,1366,55,829,1389,1304,771,256,1271,112,621,1402
서유럽,온대,2023,소형차,소형차,45.0,11828,1187,1496,791,338,1157,1298,1465,330,713,1322,280,1451
서유럽,온대,2022,상업용차,상업용차,45.0,9400,533,864,268,440,898,1440,310,133,851,1460,791,1412
서유럽,온대,2023,SUV,SUV,45.0,7705,817,757,64,260,290,1150,131,699,698,494,1078,1267
서유럽,온대,2021,전기차,전기차,45.0,7820,422,369,937,370,63,911,94,967,833,278,1159,1417
아시아,온대,2020,소형차,소형차,20.0,10729,1112,846,485,325,261,1202,1184,1467,1092,1392,1112,251
아시아,온대,2023,상업용차,상업용차,20.0,9703,360,870,789,1328,1319,1204,315,1401,434,512,598,573
아시아,온대,2023,SUV,SUV,20.0,8709,1305,460,645,1273,326,1435,52,854,1167,157,755,280
아시아,온대,2023,전기차,전기차,20.0,9085,786,340,962,1076,1294,189,104,1476,438,683,889,848
중남미,열대,2022,소형차,소형차,20.0,10959,1022,1000,211,1428,1033,148,1473,711,887,974,1410,662
